1	прозвучала	прозвучать	VERB	VBC	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#23.67#24.088
2	такая	такой	DET	DT	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#24.088#24.506
3	мысль	мысль	NOUN	NN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#24.506#24.924
4	в	в	ADP	IN	_	_	_	_	@ab1991f-words#@ab1991f#24.924#25.342
5	спектакле	спектакль	NOUN	NN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#25.342#25.76
6	/	/	SYM	SYM	_	_	_	_	@ab1991f-words#@ab1991f#25.76#26.178
7	Добрый	Добрый	ADJ	JJL	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#26.178#26.596
8	мальчик	мальчик	NOUN	NN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#26.596#27.014
9	урод	урод	NOUN	NN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#27.014#27.44
10	быть	быть	AUX	VB	Aspect=Imp|VerbForm=Inf	_	_	_	@ab1991f-words#@ab1991f#28.3#28.582
11	знаменитым	знаменитый	ADJ	JJL	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#28.582#28.864
12	/	/	SYM	SYM	_	_	_	_	@ab1991f-words#@ab1991f#28.864#29.146
13	значит	значить	VERB	VBC	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#29.146#29.428
14	быть	быть	AUX	VB	Aspect=Imp|VerbForm=Inf	_	_	_	@ab1991f-words#@ab1991f#29.428#29.71
15	счастливым	счастливый	ADJ	JJL	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#29.71#29.992
16	/	/	SYM	SYM	_	_	_	_	@ab1991f-words#@ab1991f#29.992#30.274
17	вы	вы	PRON	PRP	Case=Nom|Number=Plur|Person=2	_	_	_	@ab1991f-words#@ab1991f#30.274#30.556
